verbal expression
talking male
man talking
verbal communication
woman talking
female talking
male voice
man voice
male vocalization
female voice
woman voice
female vocalization
male oration
man orating
male speaking
female oration
woman orating
female speaking
young speech
toddler talking
babbling child
chatty kid
rambling kid
giggling conversation
heated conversation
friendly conversation
dramatic narration
whispering narration
excited monologue
angry monologue
emotional monologue
babbling baby
babbling brook
babbling stream
speech synthesizer robot
speech synthesizer voice
speech synthesizer computer
shout loudly
shout angrily
shout excitedly
bellow loudly
bellow deeply
bellow fiercely
whoop it up
whoop with joy
whoop loudly
yelling loudly
yelling angrily
yelling happily
crying battle cry
shouting battle cry
whispering battle cry
children shouting happily
children shouting loudly
children shouting angrily
screaming in pain
screaming in fear
screaming in excitement
whispering softly
whispering secretly
whispering gently
hysterical Laughter
contagious Laughter
uncontrollable Laughter
cute Baby laughter
giggling Baby laughter
adorable Baby laughter
naughty Giggle
childish Giggle
silly Giggle
mischievous Snicker
sneaky Snicker
quiet Snicker
loud Belly laugh
booming Belly laugh
hearty Belly laugh
giggling Chuckle
laughing Chuckle
smiling Chuckle
snickering Chuckle
guffawing chortle
laughing chortle
smiling chortle
snickering chortle
weeping Crying
sobbing Crying
whimpering Crying
bawling sobbing
weeping sobbing
whimpering sobbing
crying Baby cry
sobbing Baby cry
whimpering Baby cry
crying infant
screaming infant
whimpering infant
crying baby
whimpering baby
wailing baby
moaning person
sighing person
whimpering person
wailing person
moaning animal
sighing animal
whimpering animal
wailing animal
moaning sound
sighing sound
whimpering sound
wailing sound
soulful singing
harmonizing singing
operatic singing
gospel choir
acapella choir
barbershop choir
Swiss yodeling
cowboy yodeling
yodeling competition
football chant
religious chant
tribal chant
meditation mantra
healing mantra
mantra chanting
soulful male singing
rocking male singing
falsetto male singing
opera male singing
powerful female singing
breathy female singing
jazzy female singing
classical female singing
cute child singing
harmonious child singing
innocent child singing
playful child singing
robotic synthetic singing
futuristic synthetic singing
metallic synthetic singing
digital synthetic singing
fast rapping
slow rapping
aggressive rapping
smooth rapping
humming sound
melodic humming
deep groan
painful groan
disgusted grunt
exertion grunt
whistling wind
happy whistling
heavy breathing
shallow breathing
heavy wheeze
light wheeze
asthmatic wheeze
loud snoring
quiet snoring
deep snoring
sudden gasp
long gasp
shocked gasp
fast pant
slow pant
dog pant
pig snort
horse snort
human snort
heavy cough
dry cough
wet cough
loud cough
throat clearing
throat irritation
throat discomfort
throat scratching
big sneeze
small sneeze
silent sneeze
loud sneeze
quick sniff
long sniff
repeated sniff
deep sniff
fast run
slow run
heavy run
light run
random shuffle
card shuffle
slow walk
fast walk
casual walk
heavy footsteps
light footsteps
running footsteps
loud chewing
quiet chewing
slow mastication
fast mastication
loud mastication
quiet mastication
chewing food
sharp bite
gentle bite
swishing water
deep gargling
bubbling gargling
loud stomach rumble
quiet stomach rumble
sudden burp
long burp
silent eructation
loud eructation
hiccuping person
loud hiccup
silent hiccup
farting sound
smelly fart
silent fart
clapping hands
slapping hands
clenched hands
finger snapping
fast snapping
slow snapping
beating heart
racing heartbeat
irregular heartbeat
loud cheering
excited cheering
thunderous applause
gentle heart sounds
faint heart sounds
murmuring heart
applause and cheering
standing ovation
chatty people
chatty birds
chatty dogs
chatty monkeys
noisy crowd
cheering crowd
protesting crowd
murmuring hubbub
buzzing hubbub
whispering hubbub
mumbling speech
muttering speech
babbling speech
gibberish babble
chattering babble
muttering babble
playing children
happy children
crying children
wild animal
tamed animal
dangerous animal
domestic animals
farm animals
zoo animals
cute pets
loyal pets
exotic pets
big dog
small dog
trained dog
loud bark
quiet bark
angry bark
happy bark
high-pitched yip
low-pitched yip
excited yip
scared yip
long howl
short howl
melancholic howl
fierce howl
cute bow-wow
funny bow-wow
serious bow-wow
playful bow-wow
intense growling
low growling
warning growling
ferocious growling
dog whimpering
sad dog sound
happy dog noise
playful dog whine
meowing cat
screaming cat
purring cat
angry cat hiss
hissing snake
snake sound
snake hissing
cat purring
purring kitten
motor-like purr
deep purring
cat meowing
crying meow
demanding meow
cute meow
angry hiss
snake hissing
cat hissing
hissing sound
Caterwauling sound
Caterwauling cat
Caterwauling music
Loud livestock noise
Livestock grazing sound
Livestock market noise
Farm animals mooing
Farm animals bleating
Farm animals clucking
Working animals barking
Working animals whining
Working animals growling
Horse neighing sound
Horse galloping sound
Horse trotting sound
clip-clop sound
horse neighing
horse whinnying
cattle mooing
cattle lowing
loud moo
quiet moo
ringing cowbell
metallic cowbell
squealing pig
grunting pig
loud oink
soft oink
bleating goat
munching goat
loud bleat
quiet bleat
angry bleat
white sheep
black sheep
fluffy sheep
wild fowl
domestic fowl
flying fowl
roaming chicken
pecking chicken
laying chicken
morning rooster
evening rooster
crowing rooster
loud Cluck
quiet Cluck
fast Cluck
early Crowing
late Crowing
loud Crowing
short cock-a-doodle-doo
long cock-a-doodle-doo
repeated cock-a-doodle-doo
wild Turkey
domesticated Turkey
gobbling Turkey
loud Gobble
quiet Gobble
fast Gobble
flying duck
swimming duck
quacking duck
loud quack
soft quack
honking goose
flying goose
wild goose
loud honk
soft honk
wild animals
dangerous animals
exotic animals
hunting animals
cute animals
lion roar
tiger roar
roaring lion
roaring tiger
loud roar
quiet roar
singing bird
chirping bird
bird call
bird song
bird chatter
loud bird call
quiet bird call
melodic bird song
harsh bird song
short chirp
long chirp
happy tweet
sad tweet
loud squawk
soft squawk
flying pigeon
cooing pigeon
white dove
grey dove
singing dove
crowing crow
black crow
cawing crow
night owl
snowy owl
horned owl
loud hoot
soft hoot
multiple hoots
soaring bird flight
fast bird flight
slow bird flight
gentle flapping wings
aggressive flapping wings
rapid flapping wings
wild Canidae
domesticated Canidae
endangered Canidae
barking dogs
howling dogs
sleeping dogs
howling wolves
hunting wolves
crying wolves
running rodents
chewing rodents
hiding rodents
dirty rats
running rats
squeaking rats
playing mice
eating mice
squeaking mice
squeaking mouse
running mouse
hiding mouse
heavy patter
light patter
fast patter
flying insect
crawling insect
biting insect
singing cricket
chirping cricket
noisy cricket
buzzing mosquito
itchy mosquito
annoying mosquito
flying fly
buzzing fly
dying fly
tiny housefly
annoying housefly
buzzing housefly
loud buzz
quiet buzz
annoying buzz
honey bee
bumble bee
buzzing bee
angry wasp
buzzing wasp
stinging wasp
and so on
jumping frog
singing frog
croaking frog
hissing snake
rattling snake
shaking rattle
metallic rattle
wooden rattle
deep whale sounds
singing whale
whale communication
classical music
jazz music
rock music
piano instrument
violin instrument
trumpet instrument
ukulele strings
harp strings
banjo strings
acoustic guitar
electric guitar
bass guitar
rocking electric guitar
shredding electric guitar
clean electric guitar
slapping bass guitar
funky bass guitar
jazzy bass guitar
strumming acoustic guitar
fingerpicking acoustic guitar
mellow acoustic guitar
twangy steel guitar
country steel guitar
bluesy steel guitar
soulful slide guitar
emotional slide guitar
bluesy slide guitar
tapping guitar
fast tapping guitar
slow strum
upward strum
banjo picking
banjo solo
sitar melody
sitar drone
mandolin plucking
mandolin chords
plucking Zither
tuning Zither
playing Zither
strumming Ukulele
tuning Ukulele
playing Ukulele
playing Keyboard
tuning Keyboard
recording Keyboard
playing Piano
tuning Piano
recording Piano
playing Electric piano
tuning Electric piano
recording Electric piano
big organ
classical organ
church organ
digital organ
pipe organ
rock organ
jazz organ
tonewheel organ
drawbar organ
analog synth
digital synth
modular synth
polyphonic synth
monophonic synth
sampler pad
drum sampler
keyboard sampler
sampler workstation
sampler module
classical Harpsichord
modern Harpsichord
playing Harpsichord
metal Percussion
wooden Percussion
shaking Percussion
acoustic Drum kit
electronic Drum kit
playing Drum kit
old Drum machine
new Drum machine
programming Drum machine
beating Drum
rolling Drum
playing Drum
loud snare drum
muted snare drum
fast rimshot
slow rimshot
short drum roll
long drum roll
deep bass drum
high bass drum
tuned timpani
untuned timpani
loud Tabla sound
fast Tabla beat
classical Tabla
crashing Cymbal sound
metallic Cymbal
bright Cymbal
closed Hi-hat sound
open Hi-hat beat
fast Hi-hat
wooden block sound
hollow Wood block
sharp Wood block
shaking Tambourine sound
jingly Tambourine
fast Tambourine
rattling instrument
shaking rattle
playing rattle
shaking maraca
rattling maraca
playing maraca
striking gong
ringing gong
playing gong
ringing bells
striking bells
playing bells
striking mallets
playing mallets
hitting mallets
mallet Marimba
wooden Marimba
classical Marimba
metallic xylophone
percussive xylophone
wooden xylophone
orchestral Glockenspiel
metallic Glockenspiel
percussive Glockenspiel
jazz Vibraphone
metallic Vibraphone
percussive Vibraphone
steel Steelpan
metallic Steelpan
percussive Steelpan
loud Orchestra
classical Orchestra
jazz Orchestra
golden Brass instrument
shiny Brass instrument
heavy Brass instrument
melodic French horn
harsh French horn
smooth French horn
bright Trumpet
mellow Trumpet
blaring Trumpet
deep Trombone
jazzy Trombone
smooth Trombone
bowed cello
melancholic cello
uplifting cello
dramatic strings
soaring strings
tense strings
classical violin
romantic violin
virtuoso violin
bluegrass fiddle
fast fiddle
slow fiddle
plucked bass
jazzy bass
groovy bass
loud cello
melodic cello
classical cello
plucking double bass
jazzy double bass
deep double bass
blowing wind instrument
classical wind instrument
jazzy wind instrument
whistling woodwind instrument
classical woodwind instrument
jazzy woodwind instrument
classical flute
jazzy flute
melodic flute
jazz saxophone
classical saxophone
solo saxophone
wooden clarinet
metallic clarinet
jazzy clarinet
classical harp
electric harp
medieval harp
ringing bell
church bell ringing
tolling bell
wedding church bell
funeral church bell
jingling bell
ringing bell
shaking bell
loud bell
ringing bicycle bell
dinging bicycle bell
shaking bicycle bell
metallic bicycle bell
striking tuning fork
resonating tuning fork
vibrating tuning fork
metallic tuning fork
ringing chime
striking chime
shaking chime
metallic chime
ringing wind chime
clinking wind chime
shaking wind chime
metallic wind chime
ringing bells
fast ringing bells
slow ringing bells
blues harmonica
jazz harmonica
classical harmonica
playing accordion
squeezing accordion
fast accordion
playing bagpipes
scottish bagpipes
irish bagpipes
playing didgeridoo
aboriginal didgeridoo
modern didgeridoo
loud shofar sound
traditional shofar
digital theremin music
theremin concert performance
meditative singing bowl
singing bowl vibrations
scratching turntable sound
DJ scratching technique
pop music hits
upbeat pop songs
nostalgic pop classics
groovy hip hop
old school hip hop
underground hip hop
vocal beatboxing
drum beatboxing
electronic beatboxing
classic rock
indie rock
alternative rock
thrash metal
death metal
black metal
garage punk rock
pop punk rock
hardcore punk rock
dirty grunge
loud grunge
acoustic grunge
experimental progressive rock
melodic progressive rock
heavy progressive rock
classic rock and roll
modern rock and roll
upbeat rock and roll
trippy psychedelic rock
spacey psychedelic rock
funky psychedelic rock
soulful rhythm and blues
jazzy rhythm and blues
bluesy rhythm and blues
soulful music
upbeat soul
classic soul
jamaican reggae
dub reggae
roots reggae
western country
modern country
folk country
jazzy swing
big band swing
fast swing
traditional bluegrass
modern bluegrass
folk bluegrass
groovy Funk
upbeat Funk
soulful Funk
acoustic Folk music
indie Folk music
traditional Folk music
Arabic Middle Eastern music
Persian Middle Eastern music
Turkish Middle Eastern music
smooth Jazz
improvised Jazz
cool Jazz
70s Disco
funky Disco
retro Disco
calm classical music
violin classical music
soprano opera
dramatic opera
experimental electronic music
dance electronic music
deep house music
vocal house music
acid techno
minimal techno
heavy Dubstep
melodic Dubstep
deep Dubstep
fast Drum and bass
liquid Drum and bass
jungle Drum and bass
experimental Electronica
IDM Electronica
downtempo Electronica
uplifting Electronic dance music
progressive Electronic dance music
trance Electronic dance music
calm Ambient music
dark Ambient music
atmospheric Ambient music
hypnotic Trance
energetic Trance
melodic Trance
Latin America beats
upbeat Latin America
traditional Latin America
spicy Salsa
romantic Salsa
uplifting Salsa
passionate Flamenco
fiery Flamenco
soulful Flamenco
soulful Blues
upbeat Blues
acoustic Blues
children music
fun music
happy music
relaxing music
meditative music
calming music
singing music
harmonic music
melodic music
voice-only music
harmony music
rhythmic music
traditional African music
tribal music
drum music
folk music
choral music
African Afrobeat
fast Afrobeat
slow Afrobeat
worship Christian music
upbeat Christian music
melancholic Christian music
uplifting Gospel music
soulful Gospel music
joyful Gospel music
traditional Music of Asia
modern Music of Asia
classical Music of Asia
Carnatic vocal music
Carnatic instrumental music
Carnatic fusion music
Bollywood beats
Romantic Bollywood songs
Bollywood dance music
Upbeat ska music
Ska punk rock
Ska jazz fusion
Folk music traditions
Cultural music heritage
Classical traditional songs
Alternative indie rock
Experimental independent music
Indie pop ballads
Love song lyrics
Pop song hits
Rock ballad anthems
upbeat background music
relaxing background music
